Model_Type,Poly_Degree,Momentum,Init,LR,Test_MSE,Test_R2,CV_MSE_Mean
normal,1,False,zeros,0.001,683873558206.163,-0.023346129889423084,676359048508.0334
normal,1,False,xavier,0.001,683687338353.0148,-0.023067471117284466,676316069053.1638
normal,1,True,zeros,0.001,661312033403.9121,0.010414861179378176,659117675475.0731
normal,1,True,xavier,0.001,661572140408.1608,0.010025637918790076,657825308583.0735
lasso,1,False,zeros,0.001,683607457109.2157,-0.0229479370883523,676276043317.8629
lasso,1,False,xavier,0.001,683941489898.3801,-0.02344778264890346,676074889860.8988
lasso,1,True,zeros,0.001,661045884433.9885,0.010813125617412211,661923010536.2009
lasso,1,True,xavier,0.001,660702919813.0374,0.011326336741497856,658971448091.9506
ridge,1,False,zeros,0.001,809969412925.7786,-0.21203554970102645,791540919823.5475
ridge,1,False,xavier,0.001,811677409263.8254,-0.21459138977033732,792572278970.2611
ridge,1,True,zeros,0.001,817256100964.2853,-0.2229393255736849,780425121185.0927
ridge,1,True,xavier,0.001,796681890269.7579,-0.19215214476060982,782916469177.2585
polynomial,2,False,zeros,0.001,616755310531.2755,0.07708939386912195,609932909228.6342
polynomial,2,False,xavier,0.001,616981767083.5967,0.0767505250334648,610316491062.0314
polynomial,2,True,zeros,0.001,546184791352.58044,0.18269088528405075,572886256226.3363
polynomial,2,True,xavier,0.001,548600035023.2854,0.1790767226460931,552361637319.0176
