Model,Momentum,Method,BatchSize,Mean_MSE,Mean_R2
normal,0.0,stochastic,1,0.039213272352379855,-2.2008498804988386
normal,0.0,mini,50,0.03226837731175279,-1.6471160270426797
normal,0.0,batch,5619,0.03204124633708644,-1.6149188103826997
normal,0.9,stochastic,1,0.015080018182272382,-0.21779359434433535
normal,0.9,mini,50,0.013452365603520944,-0.09341689570118974
normal,0.9,batch,5619,0.013643244486705494,-0.1077788093832859
ridge,0.0,stochastic,1,0.013054224610606032,-0.05798409954075634
ridge,0.0,mini,50,0.012973787083456662,-0.051989310803057666
ridge,0.0,batch,5619,0.012978814483749093,-0.05234817947096122
ridge,0.9,stochastic,1,0.011198281574210798,0.09340534533386198
ridge,0.9,mini,50,0.010901716899249427,0.11647202782634887
ridge,0.9,batch,5619,0.010911652661317226,0.11548457502118883
lasso,0.0,stochastic,1,0.019465985016065276,-0.5796716398630777
lasso,0.0,mini,50,0.01956998677060256,-0.5885778785921351
lasso,0.0,batch,5619,0.019568954997550757,-0.5884930014885349
lasso,0.9,stochastic,1,0.018223388307349778,-0.4811883914877576
lasso,0.9,mini,50,0.019463710861427865,-0.5797421726572557
lasso,0.9,batch,5619,0.019541450384568622,-0.5862334682689699
poly,0.0,stochastic,1,0.023114282048245834,-0.8930347271393524
poly,0.0,mini,50,0.020324780713344988,-0.6717849739543885
poly,0.0,batch,5619,0.019845156238291785,-0.5753241939822435
poly,0.9,stochastic,1,0.00938502028931001,0.23584494337323622
poly,0.9,mini,50,0.00942502438345801,0.23184880487718756
poly,0.9,batch,5619,0.009116259316280576,0.2663591365989009
